Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Stock,% change
2018-08-07 00:00:00-04:00,18.77554714688008,18.77554714688008,18.531934259398255,18.601537704467773,7584900,0.0,0.0,HST,-0.93
2018-08-08 00:00:00-04:00,18.67114399878357,18.92345756283716,17.80980061230205,17.879404067993164,12959400,0.0,0.0,HST,-4.24
2018-08-09 00:00:00-04:00,17.862002489680346,17.966406832027932,17.792399041622925,17.827199935913086,11420100,0.0,0.0,HST,-0.19
2018-08-10 00:00:00-04:00,17.75760124512472,17.81850407105622,17.52268892269389,17.63579559326172,8288300,0.0,0.0,HST,-0.69
2018-08-13 00:00:00-04:00,17.635793989564313,17.740198350387942,17.383480408531984,17.487886428833008,6328700,0.0,0.0,HST,-0.84
2018-08-14 00:00:00-04:00,17.487887484168656,17.775001982976132,17.487887484168656,17.653196334838867,5368700,0.0,0.0,HST,0.95
2018-08-15 00:00:00-04:00,17.627094691698183,18.149121513995293,17.57489250731173,18.088218688964844,9146000,0.0,0.0,HST,2.62
2018-08-16 00:00:00-04:00,18.088216191700184,18.357929376517287,18.036012355043486,18.18391990661621,5444200,0.0,0.0,HST,0.53
2018-08-17 00:00:00-04:00,18.149121056509614,18.244824782226118,17.96641092654632,18.210023880004883,6437300,0.0,0.0,HST,0.34
2018-08-20 00:00:00-04:00,18.297026559895098,18.36663001596007,18.157819647765155,18.18391990661621,8965500,0.0,0.0,HST,-0.62
2018-08-21 00:00:00-04:00,18.227422129433474,18.427531847488197,18.175218295567475,18.3231258392334,8210800,0.0,0.0,HST,0.53
2018-08-22 00:00:00-04:00,18.349226312435427,18.618939461613046,18.27962286556775,18.53193473815918,7930200,0.0,0.0,HST,1.0
2018-08-23 00:00:00-04:00,18.55803965415778,18.584141573258144,18.123017626015802,18.166519165039062,7416100,0.0,0.0,HST,-2.11
2018-08-24 00:00:00-04:00,18.149117157398717,18.314424311520998,18.10561396462144,18.236120223999023,4569500,0.0,0.0,HST,0.48
2018-08-27 00:00:00-04:00,18.23612414180144,18.253525422650796,18.10561785438622,18.210023880004883,5702900,0.0,0.0,HST,-0.14
2018-08-28 00:00:00-04:00,18.262226205288535,18.61894416809082,18.236124283811236,18.61894416809082,8275900,0.0,0.0,HST,1.95
2018-08-29 00:00:00-04:00,18.65374781628028,19.027867081852637,18.65374781628028,18.836456298828125,7685500,0.0,0.0,HST,0.98
2018-08-30 00:00:00-04:00,18.84515400205795,19.045263735408863,18.749448625465195,18.923458099365234,5254100,0.0,0.0,HST,0.42
2018-08-31 00:00:00-04:00,18.879955581972908,19.08876594414272,18.71464675628451,18.73204803466797,10145600,0.0,0.0,HST,-0.78
2018-09-04 00:00:00-04:00,18.766849420935102,18.819051597968393,18.418832141584357,18.46233367919922,6237400,0.0,0.0,HST,-1.62
2018-09-05 00:00:00-04:00,18.410132867094447,18.601541970059117,18.38403094690396,18.479736328125,6992300,0.0,0.0,HST,0.38
